column,stationId,name,nameEng,latitude,longitude,lineName,lineNameEng,lineServiceName,เสร็จปีไหน
1,A1,สุวรรณภูมิ,Suvamabhumi,13.69843046,100.7522222,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,AIRPORTLINK,
2,A2,บ้านทับช้าง,Ban Thap Chang,13.73281412,100.6913183,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,AIRPORTLINK,
3,A3,รามคำแหง,Ramkhamhaeng,13.74303274,100.6001506,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,AIRPORTLINK,
4,A4,มักกะสัน,Makkasan,13.75118824,100.5607539,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,AIRPORTLINK,
5,A5,ราชปรารภ,Ratchaprarop,13.75519935,100.5421223,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,AIRPORTLINK,
6,A6,พญาไท,Phaya Thai,13.7567669,100.5348418,แอร์พอร์ต เรล ลิงก์,Airport Rail Link,AIRPORTLINK,
7,N1,ราชเทวี,Ratchathewi,13.75224802,100.5315666,สายสุขุมวิท,Sukhumvit Line,BTS,
8,N2,พญาไท,Phaya Thai,13.75674563,100.533654,สายสุขุมวิท,Sukhumvit Line,BTS,
9,N3,อนุสาวรีย์ชัยสมรภูมิ,Victory Monument,13.76293888,100.5371172,สายสุขุมวิท,Sukhumvit Line,BTS,
10,N4,สนามเป้า,Sanam Pao,13.7728504,100.5420494,สายสุขุมวิท,Sukhumvit Line,BTS,
11,N5,อารีย์,Ari,13.78030187,100.5446113,สายสุขุมวิท,Sukhumvit Line,BTS,
12,N7,สะพานควาย,Saphan Khwai,13.7938809,100.5497631,สายสุขุมวิท,Sukhumvit Line,BTS,
13,N8,หมอชิต,Mo Chit,13.80250429,100.5538203,สายสุขุมวิท,Sukhumvit Line,BTS,
14,N9,ห้าเเยกลาดพร้าว,Ha Yaek Lat Phrao,13.81660668,100.5618534,สายสุขุมวิท,Sukhumvit Line,BTS,
15,N10,พหลโยธิน 24,Phahon Yothin 24,13.82426961,100.5664604,สายสุขุมวิท,Sukhumvit Line,BTS,
16,N11,รัชโยธิน,Ratchayothin,13.83017496,100.5698015,สายสุขุมวิท,Sukhumvit Line,BTS,
17,N12,เสนานิคม,Sena Nikhom,13.83659969,100.573568,สายสุขุมวิท,Sukhumvit Line,BTS,
18,N13,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,13.8426107,100.5771534,สายสุขุมวิท,Sukhumvit Line,BTS,
19,N14,กรมป่าไม้,Royal Forest Department,13.8506168,100.5817851,สายสุขุมวิท,Sukhumvit Line,BTS,
